1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
359	-1.099333	66.567821	16.392870	0.000519	0.5
360	-1.079903	66.537998	16.398455	0.000783	0.5
361	-1.114483	66.511355	16.403447	0.000949	0.5
362	-1.121971	66.481532	16.409039	0.001760	0.5
363	-1.066804	66.451710	16.414635	0.001249	0.5
364	-1.124409	66.421887	16.420235	0.001296	0.6
365	-1.117720	66.392065	16.425838	0.001436	0.5
366	-1.078982	66.362242	16.431445	0.000344	0.6
367	-1.119818	66.335916	16.436398	0.001162	0.5
368	-1.113974	66.638889	16.379577	0.000914	0.5
369	-1.138149	67.328606	16.251676	0.001180	0.5
370	-1.106524	67.298783	16.257165	0.001817	0.5
371	-1.129852	67.268961	16.262658	0.000986	0.5
372	-1.131112	68.268961	16.080482	0.000857	0.6
373	-1.108647	68.239902	16.085718	0.000882	0.6
374	-1.126188	68.210079	16.091095	0.000446	0.6
375	-1.129623	68.180289	16.096471	0.001549	0.6
376	-1.133948	68.151843	16.101606	0.001602	0.6
377	-1.122829	69.151843	15.923001	0.001382	0.6
378	-1.096208	69.122022	15.928270	0.000480	0.6
379	-1.127985	69.951779	15.782956	0.000566	0.6
380	-1.139483	70.908758	15.618619	0.001024	0.6
381	-1.101400	70.878941	15.623688	0.000796	0.6
382	-1.094340	71.137835	15.579788	0.001266	0.6
383	-1.118283	71.108012	15.584832	0.000568	0.6
384	-1.146516	72.105139	15.417923	0.000769	0.7
385	-1.135251	72.855600	15.294643	0.001051	0.6
386	-1.105858	73.749942	15.150277	0.001055	0.6
387	-1.132636	74.749942	14.992050	0.000241	0.6
388	-1.130650	74.720317	14.996690	0.001528	0.7
389	-1.094588	75.716864	14.842167	0.001929	0.6
390	-1.082314	76.716864	14.690278	0.001130	0.6
391	-1.135403	77.716864	14.541466	0.001220	0.5
392	-1.105589	78.716864	14.395638	0.001595	0.6
393	-1.115935	79.716864	14.252706	0.000779	0.6
394	-1.092023	80.716864	14.112585	0.001028	0.6
395	-1.095768	80.687042	14.116724	0.000526	0.6
396	-1.116889	80.660185	14.120453	0.000931	0.7
397	-1.135118	81.139621	14.054173	0.001892	0.6
398	-1.113821	81.109799	14.058278	0.002012	0.6
399	-1.105831	82.109795	13.921935	0.001127	0.5
400	-1.113170	82.079973	13.925963	0.001120	0.6
401	-1.117508	83.078826	13.792314	0.001344	0.5
402	-1.091750	83.049003	13.796268	0.001824	0.5
403	-1.073823	83.019181	13.800223	0.001474	0.6
404	-1.119527	84.019181	13.668816	0.000475	0.5
405	-1.112870	83.990728	13.672521	0.000285	0.6
406	-1.154333	84.207481	13.644352	0.000584	0.7
407	-1.129254	84.477256	13.609454	0.001369	0.6
408	-1.123136	85.477254	13.481639	0.000609	0.6
409	-1.097754	86.477254	13.356202	0.001273	0.6
410	-1.107718	87.477177	13.233087	0.000960	0.6
411	-1.131644	88.477177	13.112211	0.000983	0.6
412	-1.113659	89.477165	12.993526	0.001140	0.5
413	-1.111081	89.447344	12.997034	0.001150	0.5
414	-1.114879	89.417521	13.000544	0.002224	0.5
415	-1.112574	89.387699	13.004057	0.001196	0.6
416	-1.131927	90.387699	12.887311	0.001601	0.5
417	-1.098903	91.387699	12.772642	0.001258	0.6
418	-1.126133	92.387699	12.659997	0.001094	0.6
419	-1.135223	93.387698	12.549321	0.001012	0.6
